drugbank_id	entrez_gene_id	sources	pubmed_ids	actions	affinity_nM	license	urls
DB00028	2215	DrugBank (target)	17351760|17911465|20441428	antagonist		CC BY-NC 4.0	
DB00028	9103	DrugBank (target)	17351760|17911465|20441428	antagonist		CC BY-NC 4.0	
DB00028	100293534	DrugBank (target)	17351760|17911465|20441428	binder		CC BY-NC 4.0	
DB00029	2243	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00029	5054	DrugBank (target)	17963464			CC BY-NC 4.0	
DB00029	5329	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00029	5340	DrugBank (target)	11752352|17963464|18673235|19436656	activator		CC BY-NC 4.0	
DB00030	1363	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	1509	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	1544	DrugBank (enzyme)		inducer		CC BY-NC 4.0	
DB00030	3416	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	3480	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	3490	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	3643	DrugBank (target)	11752352|12038982|12970169|17722952|19683471|20230616	agonist		CC BY-NC 4.0	
DB00030	4036	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	4856	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	5122	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	5126	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	5925	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00030	94121	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00031	302	DrugBank (target)	10578524|12730231|15194650			CC BY-NC 4.0	
DB00031	811	DrugBank (target)	9359841			CC BY-NC 4.0	
DB00031	821	DrugBank (target)	9359841			CC BY-NC 4.0	
DB00031	2243	DrugBank (target)	17963464|18673235|19436656			CC BY-NC 4.0	
DB00031	3856	DrugBank (target)	8760360|8810346|9988531			CC BY-NC 4.0	
DB00031	4035	DrugBank (target)	1378833|16303771|8344937			CC BY-NC 4.0	
DB00031	5054	DrugBank (target)	11163592|14564902|17963464			CC BY-NC 4.0	
DB00031	5055	DrugBank (target)	17141398|3091604|7958159			CC BY-NC 4.0	
DB00031	5329	DrugBank (target)	11447759|12210068|15231724			CC BY-NC 4.0	
DB00031	5340	DrugBank (target)	11752352|17963464|18673235|19436656	activator		CC BY-NC 4.0	
DB00031	7123	DrugBank (target)	12694198|17853709|9034981			CC BY-NC 4.0	
DB00032	2492	DrugBank (target)	11752352|14680547|17016423|17139284|7872378	binder		CC BY-NC 4.0	
DB00032	3973	DrugBank (target)	14680547|17016423|17139284|7872378			CC BY-NC 4.0	
DB00033	3459	DrugBank (target)	11752352|17251453|17618444	binder		CC BY-NC 4.0	
DB00033	3460	DrugBank (target)	11752352|17239631|17618444	binder		CC BY-NC 4.0	
DB00034	3454	DrugBank (target)	15898717|18230610			CC BY-NC 4.0	
DB00034	3455	DrugBank (target)	15898717|18230610			CC BY-NC 4.0	
DB00035	552	ChEMBL|DrugBank (target)	10594321|10731046|15084136|15613460|8957254		62.4	CC BY-SA 3.0	
DB00035	553	ChEMBL|DrugBank (target)	14971638|15084136|15613460|18655906		5.8	CC BY-SA 3.0	
DB00035	554	ChEMBL|DrugBank (target)|DrugCentral (literature)	11752352|15084136|16333859|18761325|9792651	agonist	23.3	CC BY-SA 3.0	
DB00035	5742	DrugBank (enzyme)	15644490	inducer		CC BY-NC 4.0	
DB00035	5743	DrugBank (enzyme)	15644490	inducer		CC BY-NC 4.0	
DB00036	2152	DrugBank (target)	13713641|1586032|6658368			CC BY-NC 4.0	
DB00036	2155	DrugBank (target)	10388743|11735107|12525826|15907148|16370916			CC BY-NC 4.0	
DB00036	2159	DrugBank (target)	13621053|13713641|13801371|14227143|5969560			CC BY-NC 4.0	
DB00036	2677	DrugBank (target)	10901669|17016423|17139284			CC BY-NC 4.0	
DB00036	3249	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00036	7035	DrugBank (target)	11238112|11772005|12974870|7559599|8700900			CC BY-NC 4.0	
DB00038	3590	DrugBank (target)	11012177|11570967|11752352|8637716|8676079|9310465	agonist		CC BY-NC 4.0	
DB00039	2260	DrugBank (target)	10212269|10950949|11091737|11714710|9890894			CC BY-NC 4.0	
DB00039	2261	DrugBank (target)	10821861|11149756|11422746|7680555|7890137			CC BY-NC 4.0	
DB00039	2263	DrugBank (target)	10593896|11752352|16390600|16854582|17456767|17728847|7499435|9056643	binder		CC BY-NC 4.0	
DB00039	2264	DrugBank (target)	10950949|11149756|7526860|9755102|9843417			CC BY-NC 4.0	
DB00039	3339	DrugBank (target)	10593896|14753849|16989989|9788974			CC BY-NC 4.0	
DB00039	8829	DrugBank (target)	10821861|9094999|9890894			CC BY-NC 4.0	
DB00040	2642	DrugBank (target)	11752352|12529935|17462598|17479245|17534934|17620721|17623014|8020989|8144028	agonist		CC BY-NC 4.0	
DB00040	2740	DrugBank (target)	12529935|17475961|17498508|17534934			CC BY-NC 4.0	
DB00040	9340	DrugBank (target)	11212269|12529935|15817468|17016423|17139284|9990065			CC BY-NC 4.0	
DB00041	1571	DrugBank (enzyme)	10086330	inhibitor		CC BY-NC 4.0	
DB00041	1576	DrugBank (enzyme)	10086330|14977871	inhibitor		CC BY-NC 4.0	
DB00041	3559	DrugBank (target)	10207608|11752352|16767920|16864089|17216565|17530023|17584597	agonist|modulator		CC BY-NC 4.0	
DB00041	3560	DrugBank (target)	11752352|16477002|16542139|16569767|16596189|16617454	agonist|modulator		CC BY-NC 4.0	
DB00041	3561	DrugBank (target)	16477002|17083048|17363735|17598841|17635814	agonist		CC BY-NC 4.0	
DB00041	5321	DrugBank (enzyme)	8536274	inducer		CC BY-NC 4.0	
DB00041	5743	DrugBank (enzyme)	10823885|18209082	inducer		CC BY-NC 4.0	
DB00041	7498	DrugBank (enzyme)	8032542	inducer		CC BY-NC 4.0	
DB00042	6843	DrugBank (target)	11752352|17016423|17139284	binder		CC BY-NC 4.0	
DB00042	6844	DrugBank (target)	11752352|14573702	binder		CC BY-NC 4.0	
DB00042	127833	DrugBank (target)	17016423|17139284|19576489			CC BY-NC 4.0	
DB00043	2205	DrugBank (target)	15356552|17368811			CC BY-NC 4.0	
DB00043	2206	DrugBank (target)	17016423|17073688|17139284	antagonist		CC BY-NC 4.0	
DB00044	3973	DrugBank (target)	11752352|17016423|17139284|20161981	agonist		CC BY-NC 4.0	
DB00045	7097	DrugBank (target)	14617145	other/unknown		CC BY-NC 4.0	
DB00046	1544	DrugBank (enzyme)		inducer		CC BY-NC 4.0	
DB00046	3480	DrugBank (target)	20392809			CC BY-NC 4.0	
DB00046	3643	DrugBank (target)	11752352|20424816|8937933|8964871	agonist		CC BY-NC 4.0	
DB00047	1544	DrugBank (enzyme)		inducer		CC BY-NC 4.0	
DB00047	3480	DrugBank (target)	20392809	agonist		CC BY-NC 4.0	
DB00047	3643	DrugBank (target)	11752352|17922476|18585815|20424816	agonist		CC BY-NC 4.0	
DB00048	1277	DrugBank (target)	12101112|12535212|12855673|15659034|17440987			CC BY-NC 4.0	
DB00048	1278	DrugBank (target)	12101112			CC BY-NC 4.0	
DB00048	1280	DrugBank (target)	12890681|14613270|15299286|16507130|17652426			CC BY-NC 4.0	
DB00048	1281	DrugBank (target)	17016423|17139284|2145268			CC BY-NC 4.0	
DB00050	2798	ChEMBL|DrugBank (target)|DrugCentral (ChEMBL)	11462984|11752352|11854630|12606421|14561652|14605254|16809153	antagonist	1.26	CC BY-SA 3.0	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200490
DB00050	3973	DrugBank (target)	11943741|17016423|17139284			CC BY-NC 4.0	
DB00051	712	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	2209	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	2212	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	2213	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	2214	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	2215	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00051	7124	DrugBank (target)	11752352|12044041|14532145|15022409|15046527|15200343	antibody		CC BY-NC 4.0	
DB00051	9103	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00052	2690	DrugBank (target)	11752352|16917171|16965663|17082603|17128263|17133434	binder		CC BY-NC 4.0	
DB00052	5618	DrugBank (target)	17279774|17317019|17395896|2270485			CC BY-NC 4.0	
DB00054	712	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	2209	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	2212	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	2213	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	2214	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	2215	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00054	3674	DrugBank (target)	12749745|18510478|19499855	antagonist		CC BY-NC 4.0	
DB00054	3690	DrugBank (target)	11588534|11752352|12165285|12749745|17441904|18510478	antagonist		CC BY-NC 4.0	
DB00054	7448	DrugBank (target)	12749745|17160551			CC BY-NC 4.0	
DB00054	9103	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00055	1356	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00055	2147	DrugBank (target)	10463819|12062545|12070133|12208873|12296618			CC BY-NC 4.0	
DB00055	2153	DrugBank (target)	11236773|11714212|11752352|11893230|12004250|12030642	multitarget		CC BY-NC 4.0	
DB00055	2157	DrugBank (target)	11752352|18954704|9184404	multitarget		CC BY-NC 4.0	
DB00055	2677	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00055	5054	DrugBank (target)	11259926|12004248|14515185|17566522			CC BY-NC 4.0	
DB00055	5104	DrugBank (target)	10456457|12671072|7769227|8391599|9620917			CC BY-NC 4.0	
DB00055	5196	DrugBank (target)	11259926			CC BY-NC 4.0	
DB00055	5269	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00055	5627	DrugBank (target)	12062545|1828915|3160800			CC BY-NC 4.0	
DB00055	7056	DrugBank (target)	11804648|15252033|1660324|2836377|3039877			CC BY-NC 4.0	
DB00055	10544	DrugBank (target)	12353077|12871285|15118520|17566522|9529319			CC BY-NC 4.0	
DB00056	712	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00056	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00056	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00056	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00056	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00056	945	DrugBank (target)	10942240|11249747|11342449|11410481|11432892|11752352|20564405	antibody		CC BY-NC 4.0	
DB00056	2209	DrugBank (target)	7509291			CC BY-NC 4.0	
DB00056	2212	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00056	2213	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00056	2214	DrugBank (target)	17016423|17139284|7509291			CC BY-NC 4.0	
DB00056	2215	DrugBank (target)	7509291|9649182|9815888			CC BY-NC 4.0	
DB00056	9103	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00058	1991	DrugBank (target)	11752352|16773239|20521180	inhibitor		CC BY-NC 4.0	
DB00060	3454	DrugBank (target)	10049744|11747625|12034032|16912135	agonist		CC BY-NC 4.0	
DB00060	3455	DrugBank (target)	11747625|16912135			CC BY-NC 4.0	
DB00061	2885	DrugBank (target)	9299436	binder		CC BY-NC 4.0	
DB00062	259	DrugBank (target)	15452109			CC BY-NC 4.0	
DB00062	348	DrugBank (target)	12860569|12887764|16554356|17141733|17553935			CC BY-NC 4.0	
DB00062	1559	DrugBank (enzyme)	15325841	inhibitor		CC BY-NC 4.0	
DB00062	4353	DrugBank (enzyme)	16125131|16443167	substrate		CC BY-NC 4.0	
DB00062	6288	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00062	54600	DrugBank (enzyme)	18362158	inducer		CC BY-NC 4.0	
DB00063	3690	DrugBank (target)	10592235|11588534|12360110|12928738|14617694|14618072|15860200			CC BY-NC 4.0	
DB00064	259	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00064	348	DrugBank (target)	16441928|17016423|17139284|17378158			CC BY-NC 4.0	
DB00064	6288	DrugBank (target)	10361047|10903648|17016423|17139284|9200475			CC BY-NC 4.0	
DB00065	7124	DrugBank (target)	11752352|12110154|15481318|15674127|15691217|15691299|15804598|16052578|16456024|16622728|17642244	inhibitor		CC BY-NC 4.0	
DB00066	2492	DrugBank (target)	11299519|11752352|18020563|2108722|7755615|8070368|8319832	agonist		CC BY-NC 4.0	
DB00067	552	DrugBank (target)	16011575|16511036|16532916|17275806|17303660			CC BY-NC 4.0	
DB00067	553	DrugBank (target)	15993108|16114100|16720725|17027167|17284170			CC BY-NC 4.0	
DB00067	554	DrugBank (target)	11752352|16333859|16563128|17020465|17287200	agonist		CC BY-NC 4.0	
DB00067	1244	DrugBank (transporter)	10692506	substrate		CC BY-NC 4.0	
DB00068	3454	DrugBank (target)	10049744|11752352	agonist		CC BY-NC 4.0	
DB00068	3455	DrugBank (target)	10049744|11752352	agonist		CC BY-NC 4.0	
DB00069	3454	DrugBank (target)	11752352|12528473|17016423|17139284	binder		CC BY-NC 4.0	
DB00069	3455	DrugBank (target)	11752352|12528473|8836913	binder		CC BY-NC 4.0	
DB00070	213	DrugBank (carrier)	10036158|10466114	inhibitor		CC BY-NC 4.0	
DB00070	7040	DrugBank (target)	11327694|7648625|9435505|9850732	inhibitor		CC BY-NC 4.0	
DB00071	1363	DrugBank (target)	12588113|17016423|17139284|2481446|9452465			CC BY-NC 4.0	
DB00071	1509	DrugBank (target)	10229502|11779865|17016423|17139284|9130467			CC BY-NC 4.0	
DB00071	1544	DrugBank (enzyme)		inducer		CC BY-NC 4.0	
DB00071	3118	DrugBank (target)	11006709|17016423|17139284|8200980|9458118			CC BY-NC 4.0	
DB00071	3119	DrugBank (target)	10592235|1612232|17016423|17139284|1728861			CC BY-NC 4.0	
DB00071	3416	DrugBank (target)	13560210|17016423|17139284|8504733|9643444			CC BY-NC 4.0	
DB00071	3480	DrugBank (target)	17016423|17139284|7476290|9582514|9846170			CC BY-NC 4.0	
DB00071	3490	DrugBank (target)	10383131|11089538|17016423|17139284|17475416			CC BY-NC 4.0	
DB00071	3643	DrugBank (target)	11752352|12038982|12970169	binder		CC BY-NC 4.0	
DB00071	4036	DrugBank (target)	17016423|17018843|17139284|9051350|9773776			CC BY-NC 4.0	
DB00071	4856	DrugBank (target)	10084601|12149257|17016423|17139284|8622864			CC BY-NC 4.0	
DB00071	5122	DrugBank (target)	12136131|1435788|17016423|17097861|17139284			CC BY-NC 4.0	
DB00071	5126	DrugBank (target)	17016423|17139284|17221210|8666140|9662053			CC BY-NC 4.0	
DB00071	5925	DrugBank (target)	1701386|17016423|17139284			CC BY-NC 4.0	
DB00071	94121	DrugBank (target)	15028737|16216924|16831872|17016423|17139284			CC BY-NC 4.0	
DB00072	712	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00072	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00072	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00072	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00072	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00072	1588	DrugBank (enzyme)	19934256	inhibitor		CC BY-NC 4.0	
DB00072	1956	DrugBank (target)	11752352			CC BY-NC 4.0	
DB00072	2064	DrugBank (target)	11098307|11752352|17660958|18690878	antibody		CC BY-NC 4.0	
DB00072	2209	DrugBank (target)	17016423|17139284|9435876			CC BY-NC 4.0	
DB00072	2212	DrugBank (target)	17016423|17139284|17704420			CC BY-NC 4.0	
DB00072	2213	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00072	2214	DrugBank (target)	17363544			CC BY-NC 4.0	
DB00072	2215	DrugBank (target)	14666732|15471859|15680154|15868915|16109421			CC BY-NC 4.0	
DB00072	9103	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00073	712	DrugBank (target)	12874252|17016423|17139284			CC BY-NC 4.0	
DB00073	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00073	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00073	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00073	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00073	931	DrugBank (target)	11752352|20350663|20350667	antibody		CC BY-NC 4.0	
DB00073	2209	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00073	2212	DrugBank (target)	16609067|17324336			CC BY-NC 4.0	
DB00073	2213	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00073	2214	DrugBank (target)	15448014|16609067|17324336			CC BY-NC 4.0	
DB00073	2215	DrugBank (target)	15659493|16109421|16825493|17475906			CC BY-NC 4.0	
DB00073	9103	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00074	712	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00074	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00074	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00074	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00074	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00074	2209	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00074	2212	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
